股票代码,公司简称,新闻当天日总市值,新闻当天日流通市值,新闻发布时间,新闻实际来源,原文长度,情感分数,真实性（虚假1真实0）,年报资产报酬率（%）,年报资产报酬率TTM（%）,年报营业利润率（%）,流动比率（%）,速动比率（%）,净资产负债率（%）,年报总资产周转率（次）,年报总资产周转率TTM（次）,资产负债率（%）,年报非流动资产/总资产（%）,情感分数2,标题中性分数 (t-4)_x,标题积极分数 (t-4)_x,标题消极分数 (t-4)_x,评论中性分数 (t-4)_x,评论积极分数 (t-4)_x,评论消极分数 (t-4)_x,标题中性分数 (t-3)_x,标题积极分数 (t-3)_x,标题消极分数 (t-3)_x,评论中性分数 (t-3)_x,评论积极分数 (t-3)_x,评论消极分数 (t-3)_x,标题中性分数 (t-2)_x,标题积极分数 (t-2)_x,标题消极分数 (t-2)_x,评论中性分数 (t-2)_x,评论积极分数 (t-2)_x,评论消极分数 (t-2)_x,标题中性分数 (t-1)_x,标题积极分数 (t-1)_x,标题消极分数 (t-1)_x,评论中性分数 (t-1)_x,评论积极分数 (t-1)_x,评论消极分数 (t-1)_x,标题中性分数 (t+0)_x,标题积极分数 (t+0)_x,标题消极分数 (t+0)_x,评论中性分数 (t+0)_x,评论积极分数 (t+0)_x,评论消极分数 (t+0)_x,标题中性分数 (t+1)_x,标题积极分数 (t+1)_x,标题消极分数 (t+1)_x,评论中性分数 (t+1)_x,评论积极分数 (t+1)_x,评论消极分数 (t+1)_x,标题中性分数 (t+2)_x,标题积极分数 (t+2)_x,标题消极分数 (t+2)_x,评论中性分数 (t+2)_x,评论积极分数 (t+2)_x,评论消极分数 (t+2)_x,标题中性分数 (t+3)_x,标题积极分数 (t+3)_x,标题消极分数 (t+3)_x,评论中性分数 (t+3)_x,评论积极分数 (t+3)_x,评论消极分数 (t+3)_x,标题中性分数 (t-4)_y,标题积极分数 (t-4)_y,标题消极分数 (t-4)_y,评论中性分数 (t-4)_y,评论积极分数 (t-4)_y,评论消极分数 (t-4)_y,标题中性分数 (t-3)_y,标题积极分数 (t-3)_y,标题消极分数 (t-3)_y,评论中性分数 (t-3)_y,评论积极分数 (t-3)_y,评论消极分数 (t-3)_y,标题中性分数 (t-2)_y,标题积极分数 (t-2)_y,标题消极分数 (t-2)_y,评论中性分数 (t-2)_y,评论积极分数 (t-2)_y,评论消极分数 (t-2)_y,标题中性分数 (t-1)_y,标题积极分数 (t-1)_y,标题消极分数 (t-1)_y,评论中性分数 (t-1)_y,评论积极分数 (t-1)_y,评论消极分数 (t-1)_y,标题中性分数 (t+0)_y,标题积极分数 (t+0)_y,标题消极分数 (t+0)_y,评论中性分数 (t+0)_y,评论积极分数 (t+0)_y,评论消极分数 (t+0)_y,标题中性分数 (t+1)_y,标题积极分数 (t+1)_y,标题消极分数 (t+1)_y,评论中性分数 (t+1)_y,评论积极分数 (t+1)_y,评论消极分数 (t+1)_y,标题中性分数 (t+2)_y,标题积极分数 (t+2)_y,标题消极分数 (t+2)_y,评论中性分数 (t+2)_y,评论积极分数 (t+2)_y,评论消极分数 (t+2)_y,标题中性分数 (t+3)_y,标题积极分数 (t+3)_y,标题消极分数 (t+3)_y,评论中性分数 (t+3)_y,评论积极分数 (t+3)_y,评论消极分数 (t+3)_y
002170,芭田股份,,,2015/1/22,证券时报,447,27.58,0,5.7913,5.222,7.4098,0.8363,0.5924,104.1584,0.617,0.617,50.6615,69.6156,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999027252197266,0,0,0.9999024868011475,0,0,0.4999285340309143,0,0.49980518221855164,0.9995822310447693,0,0,0.9953324198722839,0,0,0.9953324198722839,0,0,0.9380003611246744,0,0,0.9380000034968058,0,0,0.49913986523946124,0,0.49862106641133624,0.49913986523946124,0,0.49862106641133624,0.33330194155375165,0.33317561944325763,0.33317387104034424,0.33330194155375165,0.33317561944325763,0.33317387104034424,0.9998495578765869,0,0,0.9999103546142578,0,0,0.998770534992218,0,0,0.998770534992218,0,0
600569,安阳钢铁,,,2015/1/23,经济观察报,3020,-36.23,1,-5.1483,-5.1419,-12.6821,0.6024,0.3579,569.8582,0.6327,0.6327,83.1965,58.6234,-35,0.7541905522346497,0,0.19991437196731568,0.7541903614997864,0,0.19991437196731568,0.9824684143066407,0,0,0.9988732814788819,0,0,0.664428581794103,0.16661528746287027,0.16610745588938394,0.8224520285924276,0.16661528746287027,0,0.6666074991226196,0.3332538406054179,0,0.6666040023167928,0,0.3284531037012736,0.6665734648704529,0,0.3331495722134908,0.6666066646575928,0,0.33319971958796185,0.9998902678489685,0,0,0.9058426022529602,0,0,0.6666091283162435,0.3332308530807495,0,0.6666091283162435,0.3332308530807495,0,0.9997371435165405,0,0,0.9997375806172689,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002178,延华智能,,,2015/1/26,证券时报,452,7,0,7.4064,6.0803,8.9867,1.7182,0.9972,73.6025,0.6428,0.6428,40.1263,31.4264,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998961687088013,0,0,0.9999134540557861,0,0,0.66660608847936,0,0.3306589722633362,0.8332510193188986,0,0.16405702630678812,0.6837648391723633,0.09986950755119324,0.19960936307907104,0.683760118484497,0.15479656457901,0.09994470477104186,0.9999108910560608,0,0,0.9999108910560608,0,0,0.7008705843578685,0,0.2725982503457503,0.9735489379275929,0,0,0.5743859914632944,0.12034718348429753,0.2288408875465393,0.5006254407075735,0.12034718348429753,0.30365294218063354,0.9999053875605265,0,0,0.6666064262390137,0.33284278710683185,0,0.5999425888061524,0.19985395669937134,0.1998995304107666,0.5999396324157715,0.19985395669937134,0.1998995304107666
000662,索芙特,,,2015/1/26,证券时报,4228,54.414,1,-0.35,,-0.82,3.06,2.71,,0.59,,15.95,51.2,55,,,,,,,,,,,,,0.999890923500061,0,0,0.999890923500061,0,0,0.9998970883233207,0,0,0.9998069746153695,0,0,0.9789665426526751,0,0,0.9812042031969342,0,0,0.7856355266911643,0,0.21388280817440578,0.8570539483002254,0.07140077437673296,0.07138893859727043,0.8749195039272308,0.12493647634983063,0,0.9482420384883881,0,0,0.9998837312062582,0,0,0.9998824596405029,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002437,誉衡药业,,,2015/1/27,第一财经,2731,5.3,1,13.7327,10.9295,28.4313,0.5156,0.4463,142.3865,0.405,0.405,58.2516,75.1933,6,0.8308000266551971,0.16564335425694784,0,0.8332506616910299,0.1666243573029836,0,0.7499330639839172,0.249934121966362,0,0.749933272600174,0.249934121966362,0,0.7998501896858216,0.08059325218200683,0,0.7932005643844604,0.08059325218200683,0,0.8999127388000489,0,0.09967214465141297,0.7995895028114319,0.09997627139091492,0.09967214465141297,0.8597790757815044,0.06664944092432658,0.03931980530420939,0.9264223138491313,0.06664944092432658,0,0.6886616504710653,0.21724172001299652,0.08376730006674062,0.8222955724467402,0.0869157858516859,0.08376730006674062,0.8406105072874772,0,0.13413800063886142,0.8891910189076474,0,0.10518558088101838,0.7770009526499996,0.18501480641188445,0.03701850220009133,0.8851303391986423,0,0.10460842759520919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002364,中恒电气,,,2015/1/29,全景网,495,3,0,9.3292,8.1031,13.7819,2.8616,2.1862,33.6482,0.5923,0.5923,24.3313,33.478,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300334,津膜科技,,,2015/1/29,上海证券报,379,4,0,4.3508,3.4584,5.2527,1.7457,1.3827,62.7955,0.3591,0.3591,38.0686,34.5391,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6665981213251749,0,0.3328728675842285,0.8311754862467448,0,0.16659743587176004,0.7998423457145691,0.1999484658241272,0,0.39995880126953126,0.3848088264465332,0.19990320205688478,0.995840311050415,0,0,0.9998877942562103,0,0,0.6601834098498026,0.3332577347755432,0,0.666597048441569,0.3332577347755432,0,0.49505850672721863,0,0.49973738193511963,0.6665818889935812,0,0.33320290843645733,0.9996677835782369,0,0,0.9996992349624634,0,0,0.49995672702789307,0,0.4997890889644623,0.49994367361068726,0,0.4997890889644623,0.8332585096359253,0.16611572106679282,0,0.9998345474402109,0,0
600875,东方电气,,,2015/1/30,中国经济网,1156,-6,1,0.2768,0.2764,1.0661,1.2433,0.791,269.6423,0.4189,0.4189,72.1626,14.1421,-3,0.7996720492839813,0.19993088245391846,0,0.6996909022331238,0.2840262472629547,0,0.999902055813716,0,0,0.8448109443371112,0.07634547582039466,0.07642379632362953,0.9864094952742258,0,0,0.8114586621522903,0.16207005083560944,0,0.8516324022236992,0.11761945836684283,0.02939436014960794,0.792850112213808,0.14700664667522206,0.05860388804884518,0.6847701879108653,0.21696627490660725,0.05880053954965928,0.6847691430765039,0.22980157066794002,0.05880053954965928,0.9991432080666224,0,0,0.9162175754706064,0.0796518474817276,0,0.9999133348464966,0,0,0.9999133348464966,0,0,0.7885461343186242,0.05325693211385182,0.14070851462227957,0.7487637826374599,0.07107277001653399,0.15875742265156337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600487,亨通光电,,,2015/2/1,证券市场周刊,2808,0.819999999999998,1,8.0407,7.2373,5.44,1.2709,0.8593,220.4177,0.9775,0.9775,65.7225,33.6591,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300190,维尔利,,,2015/2/2,其他,467,-2,0,6.7837,5.8002,14.8329,1.46,0.9506,73.6282,0.4046,0.4046,42.0235,49.4359,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998944997787476,0,0,0.9999101161956787,0,0,0.9998328685760498,0,0,0.9979954957962036,0,0,0.9999020099639893,0,0,0.9999058246612549,0,0,0.5999446392059327,0.3895396590232849,0,0.9999003410339355,0,0,0,0.6678357720375061,0,0,0.999642014503479,0,0.9999115467071533,0,0,0.9999101161956787,0,0,0.3333014249801636,0.6664849321047465,0,0.3333014249801636,0.6664849321047465,0,0.9999122619628906,0,0,0,0.9996224641799927,0
300090,盛运股份,,,2015/2/4,中国证券报,290,1,0,12.2,,52.97,1.92,1.73,,0.18,,52.54,45.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999101161956787,0,0,0.9998913407325745,0,0,0.9998934268951416,0,0,0.9999082088470459,0,0,0.9996380805969238,0,0,0.9996892213821411,0,0,0.9989960392316183,0,0,0.9982643127441406,0,0,0.6664717594782511,0.18763711055119833,0,0.6665902137756348,0.18763711055119833,0,0.9998024821281433,0,0,0.9997899174690247,0,0,0.7498762905597687,0.24994342029094696,0,0.9999085068702698,0,0,0.7534052491188049,0,0.19960185289382934,0.7992368817329407,0.1911967873573303,0
000977,浪潮信息,,,2015/2/5,21世纪经济报道,1908,63.8,1,9.2337,8.1291,4.6005,1.291,0.8306,175.7588,1.4705,1.4705,63.6561,18.6404,62,0.857034010546548,0.14279911347797938,0,0.8567113961492266,0.14279911347797938,0,0.9999105930328369,0,0,0.9998850226402283,0,0,0.9964635968208313,0,0,0.9999096393585205,0,0,0.9999021689097086,0,0,0.9999018510182699,0,0,0.7499126419425011,0.23631037026643753,0,0.7497458681464195,0.10906454920768738,0.12480761110782623,0.7776880496078067,0.05554304189152188,0.14803777469529045,0.913095752398173,0,0.03722119993633694,0.7935894983155387,0.14278437410082137,0,0.999901567186628,0,0,0.9988709390163422,0,0,0.9922152757644653,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002519,银河电子,,,2015/2/9,上海证券报,234,1,0,9.8123,8.1724,17.4301,1.4405,1.0423,83.0406,0.5123,0.5123,45.2165,51.3849,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998303453127543,0,0,0.6665626764297485,0,0.3331335385640462,0.4999462068080902,0,0.4988655149936676,0.9999019801616669,0,0,0.9999053478240967,0,0,0.9999104738235474,0,0,0.9999138712882996,0,0,0.9998894929885864,0,0,0.9999111294746399,0,0,0.9999134540557861,0,0,0.999865710735321,0,0,0.9999117255210876,0,0,0.49994778633117676,0,0.39259082078933716,0.4999515414237976,0,0.39259082078933716,0.9999099969863892,0,0,0.9999129772186279,0,0
000729,燕京啤酒,,,2015/2/10,凤凰网财经,189,-1,1,4.7719,4.8619,4.7158,1.3257,0.4753,35.8864,0.6746,0.6746,24.9375,67.0633,-1,0.8997986793518067,0,0.09995115995407104,0.8996076881885529,0.09966805577278137,0,0.857033942426954,0.0773375119481768,0,0.9983846715518406,0,0,0.9999053478240967,0,0,0.997019350528717,0,0,0.9998194873332977,0,0,0.8749199211597443,0,0.12495224177837372,0.7310109188159307,0.1665035386880239,0.08329992989699046,0.749925047159195,0.08331174155076344,0.16659527023633322,0.9998602867126465,0,0,0.9998602867126465,0,0,0.9998701810836792,0,0,0.9998924732208252,0,0,0,0,0.9996145963668823,0.9993533492088318,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600754,锦江股份,,,2015/3/2,上海证券报,626,12.8,0,5.3755,3.8177,15.3927,0.7736,0.7667,223.9537,0.2898,0.2898,68.6436,79.0601,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9996925989786783,0,0,0.9996925989786783,0,0,0.9998601277669271,0,0,0.9998822609583536,0,0,0.9973048369089762,0,0,0.9966945846875509,0,0,0,0.9997498989105225,0,0,0.9997632503509521,0,0.9999094804128011,0,0,0.9999094804128011,0,0,0.7989028930664063,0,0.19898741245269774,0.9997817039489746,0,0,0.9998863935470581,0,0,0.9999038577079773,0,0,0.9998889366785685,0,0,0.9998979568481445,0,0
600060,海信电器,,,2015/3/2,其他,480,3.8,1,8.3849,8.3413,4.9008,2.137,1.8123,73.1662,1.4506,1.4506,41.5614,11.9129,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002320,海峡股份,,,2015/3/12,证券时报,288,0,0,6.9848,6.8755,18.5494,8.0654,7.9377,9.2566,0.3053,0.3053,8.4279,68.8937,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9955657720565796,0,0,0.9996098130941391,0,0,0.9998411536216736,0,0,0.6665946245193481,0,0.3331912159919739,0.5985177382826805,0.3736773356795311,0,0.6837323606014252,0.12487528473138809,0.12494850903749466,0.7422937295016121,0.17500269412994385,0.05092867682961857,0.8234310044961817,0.11624624799279605,0.05092867682961857,0.7211409856875738,0.14773977796236673,0.08322060604890187,0.6610495994488398,0.16660462816556296,0.16651288668314615,0.798913449048996,0,0.19807495474815368,0.6991640627384186,0.09995597004890441,0.1875879943370819,0.9999046325683594,0,0,0.9999046325683594,0,0,0.9983411828676859,0,0,0.9939362009366354,0,0
001696,宗申动力,,,2015/3/12,中国经济网,1536,19.09,1,9.5859,9.0673,10.3888,2.9158,2.6746,65.6926,0.7635,0.7635,36.8849,29.3226,17,0.8568123068128314,0.1428195493561881,0,0.8569897157805306,0.1428195493561881,0,0.7691489962431101,0.07690497086598323,0.14859555317805365,0.9141982381160443,0,0.07170253075086154,0.9999008840984769,0,0,0.8888012303246392,0,0.10956433746549818,0.6996721923351288,0.0741170585155487,0.1996276080608368,0.49985419511795043,0.0741170585155487,0.39972811937332153,0.7498363181948662,0.24977801367640495,0,0.8019464798271656,0.1873079463839531,0,0.8689030331114064,0.08690328183381454,0.04337081442708555,0.9556986508162125,0.043464194173398224,0,0.9999107718467712,0,0,0.9999088644981384,0,0,0.7776441276073456,0,0.2220796744028727,0.6109854347176022,0.16211192475424874,0.22134393122461107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600028,中国石化,,,2015/3/23,证券时报,107,4,1,4.1481,4.1599,2.5797,0.7185,0.404,97.3549,1.395,1.395,45.5611,76.9664,4,0.9999067783355713,0,0,0.9998824596405029,0,0,0.5940372586250305,0.19952362775802612,0.19991234540939332,0.5940385460853577,0.19957224130630494,0.19991234540939332,0.9999139308929443,0,0,0.6917889714241028,0,0,0.6221366475025812,0.11972639958063762,0.24938901017109552,0.5829769497116407,0.04159649213155111,0.36061451335748035,0.7383941457323406,0.1623567731484123,0.08381806897080463,0.7399699402892072,0.15206660459870877,0.09234407997649649,0.832073952470507,0.04760544640677316,0.11103586923508417,0.8062616000099788,0.04760302437676324,0.137675594715845,0.7698419961062345,0.07757622080963927,0.1343383076903108,0.8418127050647488,0.025958106115266874,0.11910637710001562,0.8614973931942346,0.08928922324810389,0.0377200796919049,0.8427913908688527,0.07229619318584227,0.07538753410555282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600684,鹏博士,,,2015/3/24,中国证券报,1063,31.276,0,5.869,4.8549,14.534,2.5967,0.6063,298.6259,0.3889,0.3889,66.4163,3.9843,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8835266292095184,0.09997074007987976,0,0.8993561923503876,0.09997074007987976,0,0.9999107122421265,0,0,0.9999121427536011,0,0,0.49994587898254395,0.34597355127334595,0,0.9986771643161774,0,0,0.9997942298650742,0,0,0.9998186528682709,0,0,0.4924497604370117,0.2495189607143402,0.24980399012565613,0.6741240620613098,0,0.24980399012565613,0.9999090433120728,0,0,0.9999090433120728,0,0,0.66506959994634,0,0.33319880565007526,0.66506959994634,0,0.33319880565007526,0.4999563694000244,0,0.4992653727531433,0.49995553493499756,0,0.4992653727531433
