股票代码,标题,新闻发布时间,情绪标签,情绪分数
002518,科士达与金寨县人民政府签订投资合作协议,2016-06-06,positive,0.9832091927528381
600836,界龙实业：与迪士尼签署采购协议,2016-06-08,positive,0.9997093081474304
601608,中信重工斩获菲律宾9.5亿水泥成套总包大单,2016-06-08,neutral,0.9999077320098877
002607,亚夏汽车牵手盛世景 拟设10亿元产业并购基金,2016-06-13,neutral,0.9998729228973389
002298,中电鑫龙子公司中标2.96亿元视频防控系统项目,2016-06-13,neutral,0.9998990297317505
300131,英唐智控与大富科技及华森科技战略合作,2016-06-17,neutral,0.9998835325241089
600340,华夏幸福携手印尼AS公司 开发首个海外产业新城项目,2016-06-22,neutral,0.9999133348464966
002678,珠江钢琴携手阿里云战略转型“互联网+”,2016-07-06,neutral,0.9999134540557861
300265,通光线缆中标6285万元合同,2016-07-08,neutral,0.9999104738235474
000018,神州长城子公司签署3亿美元海外合同,2016-07-11,positive,0.999665379524231
600068,葛洲坝计划5年内向云南投资500亿-1000亿,2016-07-11,neutral,0.9999109506607056
002431,棕榈股份签署战略合作框架协议 投资金额约50亿元,2016-07-14,positive,0.9997684359550476
300094,国联水产与思念食品战略合作 涵盖采购生产全方位业务,2016-07-22,neutral,0.9999039173126221
000672,上峰水泥拟筹划收购控股股东旗下房地产公司,2016-07-25,neutral,0.9999101161956787
601668,中国建筑与辽宁政府签战略合作协议 计划投资1500亿,2016-07-29,neutral,0.9997480511665344
300177,中海达子公司获广东省海洋探测科研项目,2016-08-01,neutral,0.9999105930328369
300020,银江股份500万美元投资AR公司Magic Leap,2016-08-16,neutral,0.9999086856842041
300075,数字政通签署智慧城市合作协议,2016-08-21,positive,0.999760091304779
300426,唐德影视牵手中文在线 多领域展开独家合作,2016-08-23,neutral,0.99989914894104
601186,中国铁建(01186)中标18.5亿美元轻轨项目,2016-08-30,neutral,0.9999116659164429
000605,渤海股份预中标水处理PPP项目,2016-08-30,neutral,0.9999122619628906
002551,尚荣医疗：中标6亿建设项目,2016-09-02,neutral,0.9999122619628906
600831,广电网络与陕西城固县政府签订“互联网+”合作协议,2016-09-03,positive,0.9997537732124329
000826,启迪桑德中标垃圾焚烧发电厂BOT项目 预计总投资4亿元,2016-09-06,neutral,0.9999071359634399
601919,中国远洋(01919)委任许遵武为公司总经理,2016-09-09,neutral,0.999914288520813
002121,科陆电子中标海外输电线项目 金额达1.35亿,2016-09-09,neutral,0.9999134540557861
002717,岭南园林中标5.55亿元PPP项目,2016-09-19,neutral,0.9999061822891235
601933,泰禾集团拟1.5亿参与发起设立民营银行福建华通银行,2016-09-19,neutral,0.9999121427536011
300210,森远股份联合体预中标44亿元PPP项目,2016-09-22,neutral,0.9999128580093384
300397,天和防务：子公司签订3486万日常经营合同,2016-09-30,positive,0.9997658133506775
002310,东方园林联合中标10.28亿元PPP项目,2016-10-13,neutral,0.9999123811721802
601390,中国中铁(00390)新获370亿元工程 房地产板块成公司增长引擎,2016-10-14,positive,0.9995964169502258
300376,易事特：5544万元收购光伏发电70%股权,2016-10-14,neutral,0.9999130964279175
300021,大禹节水：拟与中建六局合作投资PPP项目,2016-10-18,neutral,0.9999102354049683
002717,岭南园林：签订一项广场PPP投资合作框架协议,2016-10-19,positive,0.9997478127479553
600196,复星医药(02196)与蕲春县政府签订《战略合作框架协议》,2016-10-27,positive,0.9997212290763855
300001,特锐德与国网等四公司签订协议 推进新能源汽车充电业务,2016-11-02,positive,0.9996613264083862
002680,长生生物签署框架协议拟20亿投建连云港医药基地,2016-11-08,positive,0.9997628331184387
300070,碧水源收国内最大工业气体供应商 何愿平任其首席执行官,2016-11-08,neutral,0.9999134540557861
300398,飞凯材料拟收购长兴昆电超6成股权,2016-11-14,neutral,0.9999115467071533
300001,特锐德全资子公司签订3.52亿元EPC总承包合同,2016-11-17,positive,0.9997621178627014
300392,腾信股份及实控人 涉嫌向最高院原副院长之子行贿,2016-11-17,negative,0.9991669654846191
600491,龙元建设预中标26.74亿元PPP项目,2016-11-22,neutral,0.9999127388000488
002616,长青集团签下3.2亿生物质热电联产项目,2016-11-23,positive,0.999295711517334
000038,深大通拟参与设立并购基金,2016-11-25,neutral,0.9999117851257324
600571,信雅达：终止资产重组,2016-11-29,neutral,0.9999120235443115
002717,岭南园林：签51亿邹城市文化旅游项目建设开发合作协议,2016-11-30,neutral,0.9902263879776001
300145,"中金环境子公司收购Tigerflow Systems,LLC100%股权",2016-11-30,neutral,0.9999140501022339
300091,金通灵：签订2.5亿煤气发电改造工程合同,2016-12-08,positive,0.9996379613876343
601186,中国铁建：签37亿元海外工程合同,2016-12-08,neutral,0.9998306035995483
300362,天翔环境预中标2.48亿元项目,2016-12-09,neutral,0.9999101161956787
300197,铁汉生态：中泰创展接盘控股股东所持3.95%股权 签署战略合作,2016-12-12,neutral,0.6947488188743591
300356,光一科技中标9691万元合同 占2015年营业收入14%,2016-12-14,neutral,0.9999134540557861
603869,北部湾旅：签署协议合作推进好运角旅游度假区发展,2016-12-18,positive,0.5841830968856812
300338,开元仪器：获专项补助200万元,2016-12-20,neutral,0.9999133348464966
002310,东方园林中标75000万元ppp项目,2016-12-21,neutral,0.9999110698699951
300197,铁汉生态：预中标3.50亿河南水利治理PPP项目,2016-12-23,neutral,0.9999121427536011
300500,"苏州设计拟1200万元设立两子公司
",2016-12-26,neutral,0.9999134540557861
300145,中金环境与桃源县人民政府签署PPP项目合作意向书,2016-12-27,neutral,0.9999140501022339
300281,金明精机成功研制PVDC技术应用设备并拟投放市场,2017-01-10,positive,0.9997792840003967
300362,天翔环境拟出资4871万元设立PPP项目公司,2017-01-10,neutral,0.9999134540557861
000533,万家乐拟4.56亿元收购及增资浙江翰晟,2017-01-11,positive,0.980326771736145
002153,石基信息2636万欧元控股RRSA,2017-01-16,neutral,0.9999125003814697
300007,汉威电子中标1.02亿元智慧水务平台项目,2017-01-18,neutral,0.999914288520813
002460,赣锋锂业4900万美元认购美洲锂业19.9%股权,2017-01-18,neutral,0.9999130964279175
603636,南威软件中标福建省应急通信工程宽带集群通信系统建设项目,2017-01-19,neutral,0.9999098777770996
002205,国统股份：联合中标7.68亿地下管廊PPP项目,2017-01-19,neutral,0.9999139308929443
300363,博腾股份拟收购J-STAR100%股权 切入创新药API业务领域,2017-01-26,neutral,0.9999128580093384
300385,雪浪环境：中标2.2亿元烟气净化系统设备采购项目,2017-02-08,neutral,0.9999133348464966
600552,凯盛科技终止重大资产重组 2个月内不再筹划重组,2017-02-09,neutral,0.9830691814422607
300133,华策影视：《功夫瑜伽》上映11日票房13.65亿元,2017-02-10,neutral,0.9999111890792847
601186,中国铁建(01186)联合体签署18.51亿美元卡诺市轻轨合同,2017-02-10,positive,0.9995850920677185
002310,东方园林联合体中标贵州45亿PPP项目,2017-02-10,neutral,0.9999128580093384
600610,中毅达：中标贵阳PPP项目候选人 项目总投资预计35亿,2017-02-13,neutral,0.9999139308929443
600068,葛洲坝获得高新技术企业认定,2017-02-13,neutral,0.9997866749763489
002755,东方新星：中标9985万元工程项目 对2017年业绩产生影响,2017-02-16,neutral,0.9999103546142578
300116,坚瑞沃能携手中通客车“造车” 预计将创收逾20亿,2017-02-20,positive,0.9993128776550293
002293,罗莱生活拟设立基金 半年没进展叫停,2017-02-22,neutral,0.999882698059082
601800,中国交通建设子公司拟共同投资雅加达房产项目,2017-03-01,neutral,0.9999110698699951
300560,中富通预中标中国移动1.82亿元项目,2017-03-06,neutral,0.9999127388000488
002792,通宇通讯：联合设立通信产业并购基金 规模10亿,2017-03-06,neutral,0.9999135732650757
002775,文科园林斩获哈密市3亿元PPP项目,2017-03-07,neutral,0.9998971223831177
300116,坚瑞沃能子公司沃特玛获13亿新能源电池大单,2017-03-08,neutral,0.9999059438705444
002310,东方园林：联合中标16.36亿元PPP项目,2017-03-09,neutral,0.9999133348464966
300255,常山药业3000万元投资设立透明质酸全资子公司,2017-03-10,neutral,0.9999103546142578
300328,"LED胶水业现整并潮,宜安科技拟2.2亿收购欧普特",2017-03-13,neutral,0.9996684789657593
300222,科大智能豪掷11亿 建设机器人和人工智能产业基地,2017-03-15,positive,0.9997444748878479
300459,金科娱乐拟3亿元设立金科汤姆猫网络科技公司,2017-03-19,neutral,0.9999116659164429
600255,鑫科材料终止收购天马影视29.9%股权,2017-03-29,neutral,0.9999129772186279
600037,歌华有线中标1.17亿北京市高清交互数字电视普及项目,2017-04-06,neutral,0.9999129772186279
300569,古冶集团与天能重工、远景能源签订战略合作框架,2017-04-07,neutral,0.9991616010665894
300197,铁汉生态中标7亿元清水江生态治理建设工程,2017-04-11,neutral,0.9999091625213623
600718,辽宁丹东市牵手东软集团合作奠定“健康丹东”基石,2017-04-12,neutral,0.9998964071273804
300123,太阳鸟游艇中标2艘330客位高速客船,2017-04-12,neutral,0.9999045133590698
002310,东方园林联合体中标20亿城市建设及水治理PPP项目,2017-04-14,neutral,0.9999130964279175
300393,10GW！全球最大N型单晶IBC电池基地落户衢州,2017-04-14,neutral,0.9999103546142578
600512,腾达建设携刚泰集团与台州路桥区签署百亿PPP项目协议,2017-04-16,positive,0.9997460246086121
002027,分众传媒与WME|IMG中国签订商业合作协议,2017-04-16,positive,0.9997594952583313
002310,东方园林：中标5.62亿元重大工程,2017-04-23,neutral,0.9999107122421265
300343,联创互联：因信披违规遭山东证监局警示,2017-04-24,neutral,0.9998979568481445
300473,德尔股份拟不超过1.2亿元收购上海旭岛汽车零部件有限公司,2017-04-26,neutral,0.9999083280563354
002781,奇信股份牵手星河地产设立合资公司,2017-05-09,neutral,0.9999115467071533
002390,信邦制药控股股东转让全部股份 誉衡药业实控人30亿接盘,2017-05-10,neutral,0.9999020099639893
603658,安图生物2亿收购百奥泰康 切入生化类体外诊断领域,2017-05-10,neutral,0.9999085664749146
000564,供销大集收购港股顺客隆55.8%股权,2017-05-14,neutral,0.9999122619628906
300037,新宙邦拟9800万元增资认购永晶科技25%股权,2017-05-15,neutral,0.9999138116836548
300116,坚瑞沃能签署25.38亿元磷酸铁锂电池组销售合同,2017-05-22,positive,0.9997532963752747
300146,汤臣倍健：与巴斯夫签署研发战略合作协议,2017-05-23,positive,0.9997091889381409
300562,乐心医疗聘陈伟霆担任运动手环形象代言人,2017-05-23,neutral,0.9997707009315491
000018,神州长城签署1.2亿美元柬埔寨总承包工程合同 ,2017-05-23,positive,0.9997009038925171
002622,融钰集团子公司中标171万元项目,2017-05-24,neutral,0.9999101161956787
000869,张裕A：拟出资4083万美元与智利贝斯酒庄设立合资公司,2017-05-25,neutral,0.9999039173126221
000869,张裕A：收购智利贝斯酒庄下属子公司股权,2017-05-25,neutral,0.9999139308929443
000958,东方能源：签署两份清洁能源合作协议,2017-05-25,positive,0.9997655749320984
000732,泰禾9亿元竞得漳州三幅商住地 面积合计14万平米,2017-05-26,neutral,0.9999080896377563
300388,国祯环保预中标给排水PPP项目,2017-05-26,neutral,0.9999140501022339
600778,友好集团：提前终止五家渠友好时尚购物中心经营,2017-06-02,neutral,0.9999107122421265
002733,雄韬股份参股子公司获大订单,2017-06-02,neutral,0.9999091625213623
600340,华夏幸福7亿元收购印尼土地建产业园,2017-06-06,neutral,0.9999066591262817
601669,中国电建联合中标110亿元PPP项目,2017-06-06,neutral,0.9999121427536011
300223,北京君正取得一项专利证书,2017-06-07,neutral,0.9999037981033325
000625,长安汽车与PSA集团签署战略合作协议,2017-06-09,positive,0.9997541308403015
300152,科融环境签5亿元环境治理框架协议,2017-06-13,positive,0.9777824878692627
002579,中京电子：与蓝韵实业签署框架协议 发力医疗健康产业,2017-06-14,neutral,0.9998123049736023
300262,巴安水务中标4.92亿PPP项目,2017-06-15,neutral,0.9998968839645386
000612,焦作万方与阳光财险达成1.27亿赔付书,2017-06-20,neutral,0.999910831451416
300197,铁汉生态：拟20亿投资特色小镇及环境治理项目,2017-06-21,neutral,0.9999135732650757
600158,中体产业：控股股东协议转让公司全部股份 6月22日公开征集受让方,2017-06-21,neutral,0.9999144077301025
300348,长亮科技与“腾讯云”签署战略合作协议,2017-06-26,neutral,0.968909502029419
300198,纳川股份联合中标10.9亿元PPP项目,2017-06-29,neutral,0.9999129772186279
300058,蓝色光标：子公司拟斥资8亿进一步收购Madhouse股权,2017-07-07,neutral,0.9999138116836548
300668,杰恩设计拟投资1000万元设立全资子公司,2017-07-12,neutral,0.9999117851257324
300202,聚龙股份中标广州银行出纳机具采购项目,2017-07-12,neutral,0.9999122619628906
300143,星普医科拟投资1亿元设立中西友谊医院,2017-08-01,neutral,0.9999103546142578
300072,三聚环保与国开行北京分行等签投贷联动合作协议,2017-08-03,neutral,0.9999091625213623
300236,三项投资2846万元 上海新阳将分别在上海韩国设立子公司,2017-08-03,neutral,0.9999102354049683
300272,开能环保获得政府专项资金补助850万元,2017-08-09,neutral,0.999731719493866
300649,杭州园林签订1800万元工程设计合同,2017-08-11,positive,0.9989463686943054
300438,鹏辉能源获得AEO高级认证企业证书,2017-08-16,neutral,0.9999114274978638
300492,山鼎设计拟收购萨拉摩尔100%股权,2017-08-16,neutral,0.9999134540557861
600859,王府井42.9亿吸收合并王府井国际,2017-08-18,neutral,0.9999082088470459
300225,金力泰参与设立并购基金 拟对外投资,2017-08-22,neutral,0.999913215637207
002310,东方园林中标15亿规模PPP项目,2017-09-06,neutral,0.9999123811721802
300676,华大基因：子公司获美CLIA实验室资质认证,2017-09-08,neutral,0.9999133348464966
300647,超频三现金1.27亿收购浙江炯达能源科技有限公司51%股权,2017-09-11,neutral,0.9999136924743652
300679,电连技术取得三项专利证书,2017-09-13,neutral,0.9999113082885742
300199,翰宇药业获一项发明专利,2017-09-14,neutral,0.9998970031738281
603388,元成股份与子公司签署8.35亿工程大单,2017-09-17,positive,0.9915659427642822
300665,飞鹿股份拟收购湖南耐渗100%股权,2017-09-21,neutral,0.9999128580093384
300590,移为通信拟现金收购晨讯模块业务,2017-09-26,neutral,0.9999122619628906
600340,华夏幸福确认成为两PPP项目成交人,2017-10-20,neutral,0.9998756647109985
300490,华自科技：取得军工二级保密资格 奠定拓展军工业务基础,2017-10-25,neutral,0.9998637437820435
300055,"万邦达：签订泰国生活垃圾发电项目合作意向书
",2017-10-26,neutral,0.9999141693115234
603636,子公司引战投并设对赌 南威软件被上交所问询,2017-10-28,neutral,0.9999127388000488
300218,"安利股份主持制定的国家标准《人造革与合成革术语》批准发布
",2017-11-01,neutral,0.9999138116836548
603165,荣晟环保拟8033万收购德力晟环保100%股份,2017-11-03,neutral,0.9999099969863892
300145,中金环境拟承接8亿元污泥处理项目,2017-11-13,neutral,0.9999091625213623
300068,南都电源：预中标2亿元中国移动采购项目 拓展5G通信锂电业务,2017-11-14,neutral,0.9996507167816162
300601,康泰生物全资子公司获美国专利证书,2017-11-15,neutral,0.9999133348464966
603993,洛阳钼业4.5亿美元参与设立“NCCL自然资源投资基金”,2017-11-17,neutral,0.9999130964279175
002506,协鑫集成：拟10.5亿港元收购协鑫新能源10.01%股权,2017-11-24,neutral,0.9999147653579712
300708,聚灿光电与台LED厂泰谷光电签订战略合作协议,2017-11-24,positive,0.9993732571601868
600567,山鹰纸业拟设环保公司和重庆子公司,2017-11-30,neutral,0.9999113082885742
600737,中粮糖业签署协议托管合山市祥星制糖公司,2017-12-01,positive,0.9995217323303223
300336,新文化携手灵河文化加速开发网生内容,2017-12-04,neutral,0.9999123811721802
300065,海兰信：与全球领先卫星通信服务商达成战略合作,2017-12-05,neutral,0.9998617172241211
300708,聚灿光电6972万美元购置一批设备,2017-12-05,neutral,0.999910831451416
300075,数字政通中标9093万元PPP项目,2017-12-05,neutral,0.999913215637207
300266,兴源环境：联合预中标南平市污水处理PPP项目 金额9.6亿元,2017-12-06,neutral,0.9999110698699951
600567,山鹰纸业拟19亿元收购联盛纸业,2017-12-20,neutral,0.9999082088470459
300262,巴安水务联合预中标11.62亿元PPP项目,2018-01-02,neutral,0.9999123811721802
300108,吉药控股全资子公司获得政府补助3000万元,2018-01-03,neutral,0.999896764755249
601186,中国铁建(01186)：联合体中标伊犁39.7亿元的PPP项目,2018-01-05,neutral,0.9999148845672607
002559,两股东持股被冻结 亚威股份补偿股份回购注销“爽约”,2018-01-13,neutral,0.9999128580093384
002249,大洋电机出资650.38万欧元参股HT公司 布局氢能设备市场,2018-01-17,neutral,0.999911904335022
603979,金诚信中标海外采矿工程项目,2018-01-18,neutral,0.9999079704284668
300118,东方日升与芮城签署《投资框架协议》 拟投资2亿元建设生产线,2018-01-23,positive,0.9997698664665222
000797,中国武夷承接乌干达国际工程,2018-01-26,neutral,0.9999091625213623
002624,完美世界16.65亿向控股股东出售资产,2018-01-28,neutral,0.9999102354049683
002153,"石基信息拟4.86亿美元转让石基零售38%股权
",2018-02-08,neutral,0.9999138116836548
300021,大禹节水签署3亿合作项目框架协议,2018-03-13,positive,0.9997554421424866
002717,岭南股份子公司联合预中标7亿元项目,2018-03-14,neutral,0.9999114274978638
600117,西宁特钢：终止重大资产重组计划遭上交所问询,2018-03-17,neutral,0.999907374382019
300002,汉威科技与神州泰岳：共建工业互联网联合实验室,2018-03-19,neutral,0.9998950958251953
300072,三聚环保控股股东股权结构拟变更,2018-03-28,neutral,0.9999116659164429
300496,将唯一对手MMS收入囊中 中科创达智能视觉技术领跑全球,2018-03-30,neutral,0.9998934268951416
603619,中曼石油：签订1.44亿元巴基斯坦钻井工程项目合同,2018-04-08,positive,0.9997585415840149
300173,智慧松德5735.2万元竞得建设用地使用权,2018-04-10,neutral,0.9999135732650757
600283,"中国水务拟溢价要约收购
钱江水利10%股份",2018-04-13,neutral,0.9803708791732788
002717,岭南股份预中标PPP项目 项目总投资7.9亿元,2018-04-19,neutral,0.9999126195907593
300621,维业股份中标1.17亿元室内装修装饰工程项目,2018-04-19,neutral,0.9999107122421265
002717,岭南股份签署南安市2018年城市门户绿化提升工程EPC项目合同,2018-04-24,positive,0.9997660517692566
601238,广汽集团将为滴滴定制智能电动汽车,2018-04-24,neutral,0.9999107122421265
601238,广汽集团与日企合资成立自动变速器公司,2018-04-25,neutral,0.9999128580093384
300021,大禹节水收到15.92亿元PPP工程项目成交通知书,2018-04-26,neutral,0.999911904335022
300230,永利股份：5478万港元出售百汇科技,2018-05-10,neutral,0.9999135732650757
300516,久之洋:签订1.21亿元重大合同 ,2018-05-11,positive,0.9997128844261169
300321,同大股份获得山东省专利奖,2018-05-15,neutral,0.9999092817306519
300363,博腾股份：与华森制药签署药物开发战略合作协议,2018-05-18,neutral,0.9999079704284668
002310,东方园林中标礼泉城PPP项目,2018-05-22,neutral,0.9999114274978638
300384,三联虹普：签署逾1亿合同 占去年营收35%,2018-05-24,neutral,0.9998773336410522
300585,奥联电子：拟与TRUWIN株式会社合作在中国成立生产工厂,2018-05-28,neutral,0.9999136924743652
300072,三聚环保：合作推进悬浮床湿法脱硫市场推广工作,2018-05-28,positive,0.9997617602348328
002255,海陆重工签订6850万元设备供应合同,2018-06-11,positive,0.9997530579566956
002259,升达林业终止收购寓泰安防51%股权,2018-06-15,neutral,0.999913215637207
300364,号百控股：与中文在线签订战略合作框架协议,2018-06-20,neutral,0.9998956918716431
300397,天和防务：董事高管及核心团队拟增持不低于1000万元,2018-06-21,neutral,0.9643735289573669
300375,鹏翎股份：筹划重大资产重组 拟收购汽车零部件公司,2018-06-25,neutral,0.9999140501022339
002564,天沃科技拟收购浦景化工 欲分羹乙二醇市场红利,2018-06-25,positive,0.9947054982185364
