股票代码,原文,标题,新闻当天日总市值,新闻当天日流通市值,新闻发布时间,新闻实际来源,新闻来源备注,原文长度,情感分数,年报资产报酬率（%）,年报资产报酬率TTM（%）,年报营业利润率（%）,流动比率（%）,速动比率（%）,净资产负债率（%）,年报总资产周转率（次）,年报总资产周转率TTM（次）,资产负债率（%）,年报非流动资产/总资产（%）,情感分数2
300090,"　　盛运股份2月4日晚间公告称，公司全资子公司北京中科通用能源环保有限责任公司收到枣庄市城市管理局中标通知书，通知该公司在枣庄市餐厨废弃物无害化处理工程BOT运作方式项目招标中中标，项目总投资6593.23万元。

　　根据公告，该项目餐厨废弃物处理补贴费综合单价为168元/吨，其中收运部分92元/吨，处理部分76元/吨。项目建设周期为12个月。

　　盛运股份表示，本次投标报价金额占公司2013年度营业总收入的5.64%。餐厨垃圾处理正成为固废处理领域的新热点，枣庄市餐厨废弃物无害化处理工程为公司餐厨处理领域的第一个项目，对公司开拓新的盈利点及未来经营业绩存在积极的影响。",盛运股份中标6593万元餐厨处理领域环保项目,,,2015-02-04,中国证券报,,290,1.0,12.2,,52.97,1.92,1.73,,0.18,,52.54,45.99,1
002519,"银河电子2月9日晚间公告称，公司于近日收到江西省新闻出版广电局的采购代理机构江西省机电设备招标有限公司发出的《中标通知书》，公司中标江西省新闻出版广电局省直播卫星户户通工程采购项目，总金额为7613.90万元，约占公司2013年经审计营业总收入的6.3%。

　　根据公告，此次招标货物名称为户户通接收设备（双模），其中包括接收机、接收天线、GPRS天线、八木天线、高频头、馈线等。公司表示，中标项目的履行将对公司经营业绩产生积极影响，但不影响公司业务、经营的独立性。",银河电子中标7613万元户户通工程采购项目,,,2015-02-09,上海证券报,,234,1.0,9.8123,8.1724,17.4301,1.4405,1.0423,83.0406,0.5123,0.5123,45.2165,51.3849,1
600754,"  锦江股份今日公告，已于2月27日在巴黎顺利完成对卢浮集团100%股权的收购交割工作。至此，锦江股份“走出去”战略再下一城，国际化的品牌运营格局初显。

  据公告，锦江股份此次通过在境外设立全资子公司作为收购主体，现金收购Star SDL Investment Co.拥有的卢浮集团100%股权的股权交割工作已完成，购买价款为13亿欧元减去交割净财务债务后的余额。在扣除银团贷款合同偿付金额后，锦江股份方面支付给交易对方及其关联方的交易款项为9.96亿欧元。最终购买价款还将根据《股份购买协议》约定的价格调整机制而相应调整。

  早在2011年，锦江股份就与卢浮集团结缘，双方以品牌合作的形式展开了充分的互动，这也为本次交易奠定了良好基础，使得锦江从参与竞标的多家著名基金及酒店集团中脱颖而出。据悉，本次交易顺利完成后，锦江股份已经开业的服务连锁酒店数量预计将超过2000家，酒店客房总数超过20万间，酒店规模大幅增长、网络布局更加优化，锦江酒店业务在全球酒店行业的排名得到明显提升。同时，公司的整体业绩将得到明显增厚。

  据锦江股份首席执行官卢正刚表示，公司的相关团队已在法国按照既定计划有序开展各项交接工作，公司将依照此前制定的协同发展计划，在保持现有管理团队和业务稳定基础上，重点关注现有业务平稳过渡和可持续发展；通过品牌梳理、业务管控、系统集成和战略发展等方面综合评估与优化调整，使锦江股份发展成为全球布局、跨国经营的国际化酒店企业。",锦江股份收购卢浮集团完成交割,,,2015-03-02,上海证券报,,626,12.8,5.3755,3.8177,15.3927,0.7736,0.7667,223.9537,0.2898,0.2898,68.6436,79.0601,12
002320,"海峡股份（002320）3月12日午间公告，公司于近日收到上海航运交易所发出的中标证明，确认公司以报价人民币1亿元中标“德银海”轮。


公告称，公司此次中标的“德银海”轮与现阶段西沙航线运营船舶需求较为匹配，经过适应性改造后，将投入西沙旅游航线经营。经之前公司测算，在投标购买金额不超过1.2亿元，再加上改造接船等费用，总投入1.5亿的假定情况下，项目年收入8300万，年净利润898万，可产生增量净现值8356万元，投资回收年限约9.80年，内部收益率18.87%，总体收益情况良好。


目前，交易合同尚未签订，具体合同内容待与交通运输部烟台打捞局签订合同后将另行公告。",海峡股份1亿报价中标“德银海”轮,,,2015-03-12,证券时报,,288,0.0,6.9848,6.8755,18.5494,8.0654,7.9377,9.2566,0.3053,0.3053,8.4279,68.8937,0
600684,"鹏博士（SH.600684）3月23日发布公告，其美国子公司长城移动于3月24日与VIZIO公司签署《战略合作框架协议》。双方通过合作，将公司旗下大麦OTT平台和应用、内容等整合在VIZIO智能电视上，建立世界领先的OTT内容交付平台，推动公司成为国际市场主流的OTT服务提供商之一。
    公告显示，公司通过美国子公司与VIZIO公司进行合作，旨在建立一个世界领先的OTT内容交付和运营平台。公司将向VIZIO授权内容，通过流媒体的应用程序在各种VIZIO终端进行分发。
    资料显示，VIZIO是美国最大的智能电视厂商和服务商。截至2014年第三季，VIZIO已联网或上线的智能电视终端超过900万，是 10多年来首个引领美国主要电视销售市场的美国品牌，其产品在沃尔玛 (Walmart)、百思买（BestBuy）、山姆会员商店 (Sam's Club)、塔吉特（Target）、好市多 (Costco Wholesale)、亚马逊（Amazon）等线下零售商以及在线商城拥有较高的品牌认知度和市场占有率，2012年以来累计获得40个史蒂夫（美国商业届的奥斯卡）奖项，被Inc. 500杂志排名计算机与电子产品类私人企业第一名。
    公司表示，北美地区是OTT业务发展最成熟的地区之一，根据公司加快境外虚拟运营商和全球OTT业务拓展的战略规划，公司拟通过与美国知名领先的智能互联网电视VIZIO公司合作，利用其完善的销售和服务渠道，领先的智能电视市场占有率，在海外快速建立OTT平台及市场推广，率先在美国市场面向华人居住较多的地区提供基于以“内容云交换资源中心”的互联网服务。未来公司还将在运营大麦OTT平台的同时，向部分地区和国家提供综合OTT平台解决方案及运维服务。
    鹏博士与VIZIO进行合作后，将在其美国销售的自有品牌智能电视上部署大麦应用，针对VIZIO品牌智能电视搭建OTT运营平台，聚合高质量的内容，搭建CDN节点，向用户快速提供内容和应用服务。应用和内容将从华语开始推广，逐步扩大到其他族裔领域和地区。公司OTT业务与VIZIO公司合作落户美国，将为构建全球OTT运营平台起到关键作用，将为公司搭建全球OTT平台打下基础。
    公司同日还发布公告，根据工信部《关于鼓励和引导民间资本进一步进入电信业的实施意见》及其他有关要求，公司向电信业务许可机构提交申请扩大原有经营范围。近日，公司获得工信部批准颁发《中华人民共和国增值电信业务经营许可证》，获准经营的业务种类和覆盖范围进一步扩大。",中证解读：鹏博士与VIZIO签署战略合作框架协议 搭建全球OTT平台,,,2015-03-24,中国证券报,,1063,31.276,5.869,4.8549,14.534,2.5967,0.6063,298.6259,0.3889,0.3889,66.4163,3.9843,29
600270,"外运发展（600270）3月24日晚公告，浙江省义乌市是国务院批准的国际贸易综合改革试验区，是全球最大的日用消费品流通中心、展示中心和中国重要的商品出口基地。公司为了积极推进在该地区的业务发展，与义乌市人民政府于近日签署了《战略合作框架协议》。

协议双方拟在以下五个方面展开战略合作：1、共同建设跨境电子商务综合运营平台；2、深入开展跨境电子商务海外仓领域合作；3、共同打造全国进口日用消费品集散中心；4、支持义乌“陆港新区”建设；5、共同推进“义新欧”中欧班列运行常态化。",外运发展与义乌市政府签署战略合作框架协议,,,2015-03-24,证券时报,,238,13.0,12.06,,23.54,3.82,3.82,,0.54,,13.45,54.28,12
300345,"红宇新材（300345）4月2日晚间公告，，2015 年3 月31 日，公司与赞比亚中国经济贸易合作区发展有限公司及天风证券股份有限公司共同签署了《战略合作框架协议》，三方愿意全面构建在赞比亚中国经济贸易合作区市场拓展与经营的战略合作关系，以此促进赞比亚公司的全面发展、红宇新材国际化战略的布局及天风证券金融服务的广泛开展。
    合作内容包括，红宇新材愿意与赞比亚公司及园区企业在新材料及各类耐磨铸件领域开展合作与投资，预计一期投入2000 万美元以上，新材料耐磨铸件产量到达15000吨以上，产值8000 万美元以上。红宇新材与赞比亚公司愿在赞比亚的基础设施、园区开发和配套领域等领域开展合作，形式不限于参股、控股、合资等。天风证券为赞比亚公司及红宇新材提供研究服务、投行财务顾问服务、投融资服务等金融服务支持。赞比亚公司积极向有关方面协调，支持红宇新材和天风证券在园区开展业务，并给予相关优惠政策。三方同意，红宇新材和天风证券尽快在园区内设立公司，加快合作进程。
    公司表示，本次协议的签署，是红宇新材积极响应国家“一带一路”和“走出去”战略，为公司走出国门，增强国际化经营能力的有益尝试，同时为公司即将在非洲的业务开展提供了平台支持和政策保障，为公司实现跨越式发展奠定基础。",红宇新材签战略合作框架协议,,,2015-04-02,中国证券报,,545,21.0,3.0561,2.7169,8.9741,3.1031,2.5836,28.9176,0.2426,0.2426,21.4447,34.761,20
002653,"　　海思科（002653）4月10日晚间发布公告，公司及公司高管拟共同出资不超过100万美元，新设立一家公司（其中海思科持股48.89%，公司高管持股51.11%），新公司作为普通合伙人发起成立海思科医疗健康创新投资基金（有限合伙），基金规模不超过1亿美元，主要投资于创新药物、医疗器械、医疗耗材等产品的研发或从事此类研发的公司。

　　除普通合伙人外，优先级有限合伙人出资66%，即不超过6600万美元，由公司董事长王俊民全资控制的公司或创投基金管理人募集的其他投资人出资。劣后级有限合伙人出资33%，即不超过3300万美元，其中海思科出资16.5%，公司高管出资16.5%。

　　据悉，参与创投基金的投资人包括公司董事长兼总经理王俊民、董事兼副总经理范秀莲、董事兼副总经理郑伟、副总经理邓翔各自拟投资设立的全资控制的公司，合计出资占创投基金的51.11%。

　　海思科表示，此次合作是公司新发展模式的探索，在分散新产品研发风险的同时获取尽可能多的利润，短期内对生产经营没有实质影响，长期看可在利用外部资金满足公司新产品研发的同时适当避免因新产品研发周期长、投资巨大等可能对公司业绩的拖累，加强和提升公司在医疗领域的竞争力。",海思科携公司高管设立医疗健康创投基金,,,2015-04-10,中国证券报,,515,10.4,13.6835,12.936,33.41,1.3962,1.3169,49.6587,0.3974,0.3974,33.1813,57.0528,8
300187,"　　备受市场关注的土壤治理领域的“岳塘模式”有了实质性进展。永清环保4月15日晚间公告称，湘塘市岳塘区竹埠港地区重金属污染治理综合治理工程重金属污染土壤修复示范工程项目总承包公开招标项目13日举行开标、评标会，最终确定永清环保成为第一中标候选人。

　　公告披露，湘潭市竹埠港地区重金属污染综合治理工程重金属污染土壤修复示范工程项目已由相关部门批准建设，建设资金来自财政投资和自筹资金。招标范围：（1）融资范围：本建设项目的所有投资，包括征地拆迁款和工程总造价。（2）对原金环颜料厂区及3#旱地范围内受重金属污染土壤（共计61亩）进行示范性的土壤重金属修复及生态修复，本项目累积工程修复的重金属污染土壤30120立方（约38685吨，其中对异位修复的土壤达标后作为道路路基等基料回填。对受重金属污染金环颜料厂区和3#旱地清理后地块约20000平方），土地进行场地平整及表层清洁土覆盖，并进行生态修复及绿化养护，并且负责项目直至验收合格（含费用）。

　　公司表示，若项目中标，公司重金属综合治理业务将在湘潭地区成功拓展，项目施工工期预计150天，项目的中标及最终执行将对公司2015年度业绩产生积极影响。",永清环保预中标 竹埠港重金属污染修复工程,,,2015-04-15,上海证券报,,502,3.0,6.1595,5.1545,14.3559,1.9181,1.5595,73.9905,0.3999,0.3999,42.3356,33.7847,4
002203,"海亮股份（002203）4月20日早间发布公告称，2014年4月19日公司全资子公司海亮环材分别与浙江卓景创业投资有限公司、浙江海亮慈善基金会、浙江海亮投资股份有限公司、冯海良、杨斌、陈伟峰就浙江海元环境科技有限公司（简称“海元环境”）100%股权收购事宜签订《股权转让意向协议书》，海亮环材拟以现金方式收购海元环境 100%股权，交易作价将截止2015年4月30日海元环境评估价值为参照，海亮环材与交易各方协商定价。
    据悉， 海元环境目前主要从事工业废气、工业废水、城镇生活污水、BOT 项目投资等环境工程的系统设计、工程总包、设备制造与成套等技术和服务，目前在金华、龙泉、诸暨、店口等地建有市政污水 BOT 项目，日处理能力 14 万吨。同时，海亮环材需要向海元环境销售 SCR 脱硝催化剂，因此海元环境与海亮环材业务存在相关性，且存在关联交易。本次海亮环材收购海元环境后，可进一步拓展环保业务领域，加快完成公司环保产业链建设，形成产业协同效应，有利于环保业务拓展，提升海亮环材和海元环境盈利能力和市场竞争力；同时，本次交易可规避同业竞争风险，避免关联交易，增强上市公司业务独立性。 ",海亮股份收购浙江海元环境科技有限公司100%股权意向协议,,,2015-04-20,中国证券报,,498,5.7,6.6123,6.372,3.3569,1.1502,0.951,133.4792,1.5326,1.5326,55.1686,50.7135,6
600398,"海澜之家（600398.SH）发布公告称，近日与万达商业管理有限公司签署了《战略合作框架协议》。 双方将充分发挥各自的业务优势，努力促进公司及品牌业务如“海澜之家”、“EICHITOO”、“百衣百顺”、“圣凯诺”等与万达商管所开发商业广场项目的合作。

　　公告透露，海澜之家与万达商管双方在协议有效期内，在中国大陆范围内开展全面合作，即万达商管将在各城市进行商业广场项目的开发建设，在同等条件下优先按协议约定将项目部分区域出租给海澜之家，海澜之家将承租万达商管开发的商业广场项目部分区域，开设公司旗下品牌卖场。协议有效期为五年，到期时如双方无异议，则该协议自动延续五年。",海澜之家与万达签署战略合作框架协议,,,2015-04-28,其他,,286,11.0,18.528,16.5871,24.8673,1.5065,0.7411,182.0211,0.7543,0.7543,64.364,19.5659,10
300265,"　　通光线缆(300265)5月4日晚间公告，在国家电网的招标活动中，全资子公司江苏通光光缆有限公司、江苏通光强能输电线科技有限公司成功中标。

　　中标项目为国家电网公司2015年输电线路材料光缆第二批集中招标活动、国家电网公司2015年输电线路材料导地线第二批集中招标活动。中标金额合计7087万元，占公司2014年经审计营业收入总额的8.27%。",通光线缆中标国网7087万元项目,,,2015-05-04,中国证券报,,176,1.0,9.4648,9.08,10.1185,2.0977,1.7923,52.4283,0.7796,0.7796,34.3954,29.7598,1
600290,"　　华仪电气（600290）5月8日晚间公告，国家电网公司近期在其电子商务平台公告了2015年第一批配网设备协议库存招标采购的中标人名单，公司作为中标人之一，中标产品包括断路器、开关柜、负荷开关、隔离开关、箱式开闭所、箱式变电站等产品，合计中标金额约1.23亿元。

　　华仪电气表示，上述项目金额（税后）约占2014年度经审计销售收入的5.99%，合同履行将对公司2015年经营业绩产生积极影响。",华仪电气中标国网1.23亿元项目,,,2015-05-08,中国证券报,,199,-1.0,2.6168,2.1546,4.9393,2.4263,2.2403,74.4886,0.3406,0.3406,42.384,18.2849,-1
300212,"易华录（300212）周一晚间发布公告，公司与白俄罗斯BUSINESS NETWORK有限责任公司签署了合作备忘录。双方秉承互惠互利的合作原则，以丝绸之路经济带为依托在信息和电信服务领域开展公共安全及互联网建设服务。

    2015年5月10日至12日，为倡议实施“一带一路”建设，中华人民共和国国家主席习近平应邀对白俄罗斯共和国进行了国事访问，商务部与白俄罗斯经济部、工商会在白俄罗斯首都明斯克共同主办中白地方经贸合作论坛，公司总裁林拥军作为企业代表团中的一员参加了该论坛。

    公司将与BN公司在白俄罗斯的国家公共安全及互联网应用方面展开相关项目合作；为了实施上述合作项目，BN公司将落实获取从事白俄罗斯全国公共安全及互联网运营的唯一特许经营权；为了实施上述合作项目，公司将在上述条款落实后，共同参与项目运营。

    易华录表示，该合作备忘录的签署标志着公司海外业务取得了重大突破，通过获取白俄罗斯公共安全及互联网应用的业务资源，未来将促进公司开展“一带一路”的战略布局。 ",易华录与白俄罗斯公司签合作协议,,,2015-05-11,全景网,,446,15.0,5.6397,4.7924,11.6365,2.0316,0.5401,83.2573,0.408,0.408,43.7518,21.0649,14
603077,"    和邦股份（603077）6月12日晚间公告，6月11日，公司与成都市青羊区人民政府签署了《互联网+现代农业电子商务投资合作协议》。

　　根据协议，公司农业电商项目依托互联网，充分运用大数据，促进优质农资产品、先进农业生产方式和农业生产技术，与金融保险和生产生活服务功能叠加，为生产者提供农产引导、农技指导，解决农业生产资金瓶颈和降低产业风险，为消费者提供安全农产品。青羊区政府鼓励和支持公司在国内，尤其是西部地区拓展业务，并为公司农业电商项目落地青羊区提供政策支持和扶持。按照青羊工业总部基地电子商务产业园区入驻工作流程，为公司提供农业电商项目办公场所。

　　根据协议，青羊区政府负责政府相关部门协调工作，协助公司拓展农业电商项目，提供优质政务服务。公司享受国家、省、市和区相关对农业、农村和电子商务鼓励及扶持优惠政策。青羊区政府均提供优质高效的政务服务，对公司农业电商项目在电子商务、农资、农产品、金融等方面给予支持，包括但不限于政府补贴、奖励或协助企业进行项目申报。青羊区政府协助公司在青羊区于2015年6月17日前，设立（四川）和邦电子商务有限公司（暂定名），注册资本2亿元。

　　实际上，公司4月14日发布公告，拟投资2亿元用于建设服务农业产业的电子商务平台。项目旨在通过建设电子商务平台服务农业市场，降低农业生产者的生产成本、为农业生产者提供技术服务与降低农产品消费者的消费成本，打破中国农业市场传统现状，为消费者带来优质服务。基于一切从消费者实际需求为出发点的服务理念，公司将在本项目建设与运营中采用互联网为平台，充分使用大数据，并引入互联网金融和保险业务，为用户提供农技指导、农产引导，解决农业生产资金瓶颈和降低产业风险，及田间问题处理方案的现场服务。

　　在我国，农业生产者和农产品消费者之间有着层层的中间环节，占据了产业链一半以上的利润。传统的农资流通渠道环节多，流通成本高，终端价格高，农资电商化是解决上述问题的有效手段。和邦股份作从未涉足传统农资渠道，在其中并无既有利益，打造的农资电商项目将更具颠覆性，是纯粹的农资电商。公司进军农业电商领域，将打破中国农业市场的传统现状，最终使产业者、消费者利益最大化。",中证解读：和邦股份签订农业电商协议 项目落地成都,,,2015-06-12,中国证券报,,922,21.9,3.9473,3.5833,7.6415,0.6301,0.4095,73.3962,0.2816,0.2816,41.2153,79.0642,20
002751,　　易尚展示(002751)6月15日午间公告，为实施募集资金投资项目“创意终端展示产品生产项目”需要，公司拟与深圳市建宏达建设实业有限公司签订约1.3亿元建筑工程施工合同，合同工期450天。建宏达为易尚展示的关联企业，此次交易构成关联交易。,易尚展示与关联方签1.3亿建筑工程合同,,,2015-06-15,证券时报,,121,2.0,6.88,,7.41,0.49,0.45,,0.51,,69.43,67.65,2
